ID,Code,Address/Intersection/Area,Latitude,Longitude
340561,PFI10,AB,44.0522042397601,-123.071034119937
340569,PFI10,SB,44.0603147120386,-123.094553505187
340715,PFI10,Jefferson,44.0595151563337,-123.101707301194
340807,PFI10,WB,44.0692198013698,-123.115532682116
340821,PFI10,WB,44.0814874556003,-123.116720995464
340846,PFI10,Q St ,44.0619994450566,-123.073110361504
340847,PFI10,Garfield,44.0423401241530,-123.120150609979
340850,PFI10,AB,44.0551377953933,-123.083251413773
340855,PFI10,AB,44.0528664734621,-123.081137458468
340918,PFI10,SB,44.0621294643859,-123.097215494350
340919,PFI10,SB,44.0632470614784,-123.100267807661
340920,PFI10,Westmoreland,44.0420737082980,-123.114931665960
340924,PFI10,Owen Rose,44.0640065858311,-123.103625090295
340931,PFI10,MJ,44.0644464445641,-123.108594743107
340932,PFI10,MJ,44.0646865504715,-123.110543144804
340934,PFI10,Delta Ponds,44.0753761913294,-123.113909679929
340993,PFI10,AP,44.0301413590209,-123.086453052985
341011,PFI10,AP,44.0257687434989,-123.082161822552
341021,PFI10,AP,44.0255691818652,-123.082138941251
341083,PFI10,SB,44.0604893985050,-123.094831092217
341098,PFI10,WJ,44.0567156652403,-123.101617130029
341371,PFI10,AB,44.0457254356717,-123.052566097113
341385,PFI10,MJ,44.0645902870151,-123.109029396684
341410,PFI10,WB,44.0691959093267,-123.117480063181
341411,PFI10,Rasor,44.0720766620858,-123.116684808324
341412,PFI10,WB,44.0862856574593,-123.119110499676
341413,PFI10,WB,44.0914363173927,-123.117343208137
341414,PFI10,NB,44.0660419935688,-123.106953396256
341415,PFI10,AB,44.0522857390858,-123.070952195964
341416,PFI10,AB,44.0461400601801,-123.054890891630
341417,PFI10,AB,44.0542279756034,-123.063448432886
341418,PFI10,SB,44.0577758967177,-123.084564918406
341419,PFI10,SB,44.0602297186641,-123.090210370362
341420,PFI10,SB,44.0617151802762,-123.096028300480
341421,PFI10,Garfield,44.0424096687745,-123.120643699221
341631,PFI10,Awbrey,44.1255896585080,-123.140600119815
342269,PFI10,1st/Jefferson,44.0590024811829,-123.101638385320
342270,PFI10,1st/Jefferson,44.0591187240702,-123.101582087820
342271,PFI10,1st/Jefferson,44.0591959830652,-123.101565813860
342272,PFI10,1st/Jefferson,44.0592963828957,-123.101597734602
342273,PFI10,1st/Jefferson,44.0593838660500,-123.101607372937
342274,PFI10,1st/Jefferson,44.0594339964386,-123.101640498853
342276,PFI10,1st/Jefferson,44.0595348829068,-123.101630612114
342280,PFI10,1st/Jefferson,44.0596187534370,-123.101636723582
342281,PFI10,1st/Jefferson,44.0597215378053,-123.101630539596
342283,PFI10,1st/Jefferson,44.0597587545417,-123.101665356742
342284,PFI10,1st/Jefferson,44.0615638646392,-123.101617782391
342369,PFI10,Garfield,44.0422600414972,-123.119849048666
342370,PFI10,Grant,44.0422432332968,-123.119879651045
342413,PFI10,Jefferson,44.0617883678801,-123.101447524643
342414,PFI10,Jefferson,44.0614066022993,-123.101443310727
342415,PFI10,1st/Jefferson,44.0597663249597,-123.101556553346
342416,PFI10,1st/Jefferson,44.0595735834035,-123.101639396959
342417,PFI10,1st/Jefferson,44.0595199903396,-123.101588016795
342418,PFI10,1st/Jefferson,44.0589506017985,-123.101578838690
342419,PFI10,Garfield,44.0422445026295,-123.120868335444
342420,PFI10,Garfield,44.0422715922741,-123.120661549309
342502,PFI10,SB,44.0575456909016,-123.084361535428
342505,PFI10,SB,44.0593415064130,-123.087649075622
342507,PFI10,Jefferson,44.0610895001727,-123.101695608980
342512,PFI10,Jefferson,44.0607200375719,-123.101640604535
342516,PFI10,1st/Jefferson,44.0591536046091,-123.101592580878
342517,PFI10,1st/Jefferson,44.0589781293454,-123.101728609074
342518,PFI10,1st/Jefferson,44.0589260242261,-123.101550560006
342520,PFI10,1st near bridge,44.0588946996398,-123.101473794469
342526,PFI10,Grant,44.0422975525537,-123.119834698117
342669,PFI10,Grant,44.0428268761711,-123.122742440685
342724,PFI10,Garfield,44.0426873672021,-123.122632400068
342726,PFI10,Garfield,44.0427134979399,-123.119729038319
342773,PFI10,West Bank,44.0691913687825,-123.115675689315
342779,PFI10,Alton Baker,44.0518703755593,-123.067364457997
342790,PFI10,Rasor,44.0726311318852,-123.117863200425
342792,PFI10,AB,44.0461156957441,-123.050762546181
342794,PFI10,Jefferson,44.0594366917395,-123.101636744292
342795,PFI10,WJ,44.0582971489434,-123.100619730334
342796,PFI10,WJ,44.0581138894615,-123.100576751086
342797,PFI10,West Bank,44.0770222320466,-123.115064588740
342798,PFI10,WJ,44.0578608877384,-123.100487816807
342799,PFI10,WJ,44.0582753303983,-123.100520526345
342800,PFI10,WJ,44.0578725335586,-123.100506547738
342801,PFI10,WJ,44.0579849348113,-123.100440844134
