ID,Code,Address/Intersection/Area,Latitude,Longitude,"Date of cleanup, inspection or posting",Staff hours,# staff members,Pieces of equipment used,Items to storage?,Hazmat,Yards of debris,Images?
367051,PFI10,WB,44.0692499293774,-123.117400357753,Feb-21,2.25,2,2,No,,0,Yes
367089,PFI10,5th/Bailey Hill,44.0540941264324,-123.147248804045,Feb-21,1,1,1,No,,0,Yes
367095,PFI10,5th/Bailey Hill,44.0541565214360,-123.147568790777,Feb-21,0.25,2,2,No,,0,Yes
367166,PFI10,AC,44.0478665515369,-123.157257860603,Feb-21,2,1,1,No,,0,Yes
367173,PFI10,Scobert,44.0552243944299,-123.110410324843,Feb-21,0,1,0,No,,0,Yes
367177,PFI10,Whilamut,44.0520332477419,-123.067153154688,Feb-21,0.25,1,1,No,,0,Yes
367330,SFS30,2775 Edison St,44.0679794619929,-123.138105400602,Feb-21,6,3,3,No,Called NW Hazmat,3,No
367362,SWM30,Pin location,44.0976341750798,-123.110423962675,Feb-21,0.5,2,1,No,,0,Yes
367380,SFS30,W 2nd Aly/Adams,44.0570674217537,-123.106395450026,Feb-21,14,3,3,No,Called NW Hazmat,0,No
367381,SFS30,13th/Chambers,44.0455571553926,-123.118038319834,Feb-21,0.5,1,1,No,,0,No
367398,PFI11,Knickerbocker,44.0446437092870,-123.051898476766,Feb-21,2.5,1,1,No,,0,Yes
367407,SFS30,1031 Mill St,44.0484414558196,-123.086428825062,Feb-21,1.5,1,1,No,Called NW Hazmat,0,No
367410,SFS30,Beltline/Division,44.0974440282185,-123.110182846338,Feb-21,1,1,1,No,,0,No
367522,SFS30,221 Division Ave,44.0983884358474,-123.122844309556,Feb-21,1,1,1,No,,0,No
367524,SFS30,2nd/Polk,44.0575005089319,-123.112472754163,Feb-21,3,2,3,No,,0,No
367525,SFS30,W 2nd/Polk,44.0574815070375,-123.112492908085,Feb-21,0.5,1,1,No,,0,No
367561,SFS30,Lone Oak,44.0985513432871,-123.120481089402,Feb-21,1,1,1,No,,0,No
